"id","pluse"
28,"2020-12-13 13:27:57"
29,"2020-12-13 13:29:34"
30,"2020-12-13 13:31:00"
31,"2020-12-13 13:33:07"
32,"2020-12-13 13:34:44"
33,"2020-12-13 13:36:12"
34,"2020-12-13 13:37:56"
35,"2020-12-13 13:39:31"
36,"2020-12-13 13:41:19"
37,"2020-12-13 13:43:14"
38,"2020-12-13 13:45:39"
39,"2020-12-13 13:48:53"
40,"2020-12-13 13:53:19"
41,"2020-12-13 13:53:20"
42,"2020-12-13 14:00:47"
43,"2020-12-13 14:12:38"
44,"2020-12-13 14:30:49"
45,"2020-12-13 14:32:04"
46,"2020-12-13 14:46:04"
47,"2020-12-13 14:47:14"
52,"2020-12-13 15:06:05"
53,"2020-12-13 15:08:48"
54,"2020-12-13 15:10:55"
55,"2020-12-13 15:23:23"
56,"2020-12-13 17:50:28"
57,"2020-12-13 21:51:25"
58,"2020-12-13 23:56:18"
59,"2020-12-14 00:22:10"
60,"2020-12-14 00:31:55"
61,"2020-12-14 00:48:40"
62,"2020-12-14 01:02:35"
63,"2020-12-14 01:08:17"
64,"2020-12-14 01:09:34"
65,"2020-12-14 03:04:32"
66,"2020-12-14 03:10:57"
67,"2020-12-14 03:11:47"
68,"2020-12-14 03:33:44"
69,"2020-12-14 03:43:26"
70,"2020-12-14 05:46:25"
71,"2020-12-14 07:47:45"
72,"2020-12-14 08:32:36"
